,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61630,1400000US48001950100,"Census Tract 9501, Anderson County, Texas",4785,174,867,963,1441,1540,2392,3061,3832
61631,1400000US48001950401,"Census Tract 9504.01, Anderson County, Texas",321,0,0,64,109,109,198,261,282
61632,1400000US48001950402,"Census Tract 9504.02, Anderson County, Texas",205,4,44,44,62,62,75,98,136
61633,1400000US48001950500,"Census Tract 9505, Anderson County, Texas",4394,178,1396,1622,2338,2410,3154,3893,4145
61634,1400000US48001950600,"Census Tract 9506, Anderson County, Texas",5047,258,1662,2342,2700,2811,3675,4195,4563
61635,1400000US48001950700,"Census Tract 9507, Anderson County, Texas",2584,230,661,830,1805,1894,2323,2452,2475
61636,1400000US48001950800,"Census Tract 9508, Anderson County, Texas",5505,292,1540,1599,2120,2176,3350,4074,4502
61637,1400000US48001950901,"Census Tract 9509.01, Anderson County, Texas",5388,187,991,1784,2648,2878,4075,4635,4948
61638,1400000US48001950902,"Census Tract 9509.02, Anderson County, Texas",4501,233,789,1092,1517,1785,2854,3361,3991
61639,1400000US48001951000,"Census Tract 9510, Anderson County, Texas",7180,522,1211,1623,2024,2410,4345,5260,5955
61640,1400000US48001951100,"Census Tract 9511, Anderson County, Texas",4438,187,605,679,1037,1169,2543,3294,3634
61641,1400000US48003950100,"Census Tract 9501, Andrews County, Texas",2305,265,495,568,583,583,809,1066,1330
61642,1400000US48003950200,"Census Tract 9502, Andrews County, Texas",7380,217,923,1093,1173,1481,2531,4455,5519
61643,1400000US48003950300,"Census Tract 9503, Andrews County, Texas",4865,319,759,1320,1756,1806,2857,4050,4328
61644,1400000US48003950400,"Census Tract 9504, Andrews County, Texas",3377,13,171,271,643,776,1389,2272,2598
61645,1400000US48005000101,"Census Tract 1.01, Angelina County, Texas",6270,432,1523,1654,1884,2434,3269,4886,5290
61646,1400000US48005000102,"Census Tract 1.02, Angelina County, Texas",4761,108,601,633,965,1386,1975,2593,3158
61647,1400000US48005000200,"Census Tract 2, Angelina County, Texas",6677,97,1017,2193,2734,2874,5204,5706,6119
61648,1400000US48005000301,"Census Tract 3.01, Angelina County, Texas",5140,438,1099,1245,1344,1520,2240,3420,4021
61649,1400000US48005000302,"Census Tract 3.02, Angelina County, Texas",5211,211,1184,1643,2064,2259,3124,3569,3974
61650,1400000US48005000400,"Census Tract 4, Angelina County, Texas",4628,384,1116,1315,1973,2063,3286,4084,4330
61651,1400000US48005000500,"Census Tract 5, Angelina County, Texas",3961,428,1795,2095,2497,2545,3272,3532,3759
61652,1400000US48005000600,"Census Tract 6, Angelina County, Texas",6286,341,2270,2977,3516,3629,5317,5932,6114
