,id,geoid,households,below_poverty,hh_snap,hh_nowork
61630,1400000US48001950100,"Census Tract 9501, Anderson County, Texas",1790,295,163,23.9
61631,1400000US48001950401,"Census Tract 9504.01, Anderson County, Texas",95,0,0,0.0
61632,1400000US48001950402,"Census Tract 9504.02, Anderson County, Texas",112,29,11,0.0
61633,1400000US48001950500,"Census Tract 9505, Anderson County, Texas",1584,289,247,14.5
61634,1400000US48001950600,"Census Tract 9506, Anderson County, Texas",1792,240,310,22.2
61635,1400000US48001950700,"Census Tract 9507, Anderson County, Texas",911,195,108,13.3
61636,1400000US48001950800,"Census Tract 9508, Anderson County, Texas",2080,390,350,14.9
61637,1400000US48001950901,"Census Tract 9509.01, Anderson County, Texas",1854,252,125,13.5
61638,1400000US48001950902,"Census Tract 9509.02, Anderson County, Texas",1893,172,112,31.8
61639,1400000US48001951000,"Census Tract 9510, Anderson County, Texas",2857,326,313,21.2
61640,1400000US48001951100,"Census Tract 9511, Anderson County, Texas",1709,246,114,18.1
61641,1400000US48003950100,"Census Tract 9501, Andrews County, Texas",725,70,12,3.9
61642,1400000US48003950200,"Census Tract 9502, Andrews County, Texas",2528,237,155,7.0
61643,1400000US48003950300,"Census Tract 9503, Andrews County, Texas",1456,137,113,12.2
61644,1400000US48003950400,"Census Tract 9504, Andrews County, Texas",864,54,79,10.2
61645,1400000US48005000101,"Census Tract 1.01, Angelina County, Texas",2041,217,235,18.5
61646,1400000US48005000102,"Census Tract 1.02, Angelina County, Texas",1600,87,87,14.3
61647,1400000US48005000200,"Census Tract 2, Angelina County, Texas",2437,331,484,10.9
61648,1400000US48005000301,"Census Tract 3.01, Angelina County, Texas",2056,260,467,6.8
61649,1400000US48005000302,"Census Tract 3.02, Angelina County, Texas",2025,247,394,22.2
61650,1400000US48005000400,"Census Tract 4, Angelina County, Texas",1833,247,292,14.1
61651,1400000US48005000500,"Census Tract 5, Angelina County, Texas",1444,523,530,28.5
61652,1400000US48005000600,"Census Tract 6, Angelina County, Texas",1873,442,618,9.7
61653,1400000US48005000700,"Census Tract 7, Angelina County, Texas",1138,448,552,11.8
61654,1400000US48005000800,"Census Tract 8, Angelina County, Texas",2203,164,346,13.4
61655,1400000US48005000901,"Census Tract 9.01, Angelina County, Texas",2485,317,124,17.8
61656,1400000US48005000902,"Census Tract 9.02, Angelina County, Texas",1607,313,143,18.2
61657,1400000US48005001001,"Census Tract 10.01, Angelina County, Texas",1338,405,452,13.9
61658,1400000US48005001002,"Census Tract 10.02, Angelina County, Texas",1433,245,215,18.1
61659,1400000US48005001100,"Census Tract 11, Angelina County, Texas",2408,238,412,17.5
61660,1400000US48005001200,"Census Tract 12, Angelina County, Texas",1055,188,247,34.9
61661,1400000US48005001300,"Census Tract 13, Angelina County, Texas",2059,312,545,22.9
61662,1400000US48007950100,"Census Tract 9501, Aransas County, Texas",2411,311,348,42.2
61663,1400000US48007950200,"Census Tract 9502, Aransas County, Texas",606,20,8,27.9
61664,1400000US48007950300,"Census Tract 9503, Aransas County, Texas",2833,431,378,18.5
61665,1400000US48007950400,"Census Tract 9504, Aransas County, Texas",1405,371,286,10.4
61666,1400000US48007950500,"Census Tract 9505, Aransas County, Texas",2293,489,341,31.8
61667,1400000US48007990000,"Census Tract 9900, Aransas County, Texas",0,0,0,-
61668,1400000US48009020100,"Census Tract 201, Archer County, Texas",1106,72,30,6.7
61669,1400000US48009020200,"Census Tract 202, Archer County, Texas",956,121,124,17.9
61670,1400000US48009020300,"Census Tract 203, Archer County, Texas",1390,205,126,16.3
61671,1400000US48011950100,"Census Tract 9501, Armstrong County, Texas",694,69,15,16.6
61672,1400000US48013960100,"Census Tract 9601, Atascosa County, Texas",2549,384,487,15.3
61673,1400000US48013960201,"Census Tract 9602.01, Atascosa County, Texas",2076,208,293,10.5
61674,1400000US48013960202,"Census Tract 9602.02, Atascosa County, Texas",3241,462,424,14.5
61675,1400000US48013960300,"Census Tract 9603, Atascosa County, Texas",1166,234,244,9.0
61676,1400000US48013960401,"Census Tract 9604.01, Atascosa County, Texas",777,128,136,17.2
61677,1400000US48013960402,"Census Tract 9604.02, Atascosa County, Texas",2908,280,289,16.7
61678,1400000US48013960500,"Census Tract 9605, Atascosa County, Texas",838,176,162,14.1
61679,1400000US48013960600,"Census Tract 9606, Atascosa County, Texas",1991,328,515,13.9
61680,1400000US48015760100,"Census Tract 7601, Austin County, Texas",983,154,170,20.0
61681,1400000US48015760200,"Census Tract 7602, Austin County, Texas",2131,272,116,13.5
61682,1400000US48015760300,"Census Tract 7603, Austin County, Texas",2551,319,188,9.5
61683,1400000US48015760400,"Census Tract 7604, Austin County, Texas",1558,202,92,18.6
61684,1400000US48015760501,"Census Tract 7605.01, Austin County, Texas",1767,119,103,19.6
61685,1400000US48015760502,"Census Tract 7605.02, Austin County, Texas",2311,258,279,6.5
61686,1400000US48017950100,"Census Tract 9501, Bailey County, Texas",2054,183,257,13.1
61687,1400000US48019000101,"Census Tract 1.01, Bandera County, Texas",1774,110,99,22.8
61688,1400000US48019000102,"Census Tract 1.02, Bandera County, Texas",2207,362,173,25.1
