tract,company,corp,number_refineries,county,population,respiratory_hi,neurological_hi,developmental_hi,reproductive_hi,kidney_hi,immunological_hi,whole_body_hi,total_cancer_risk_(per_million),pt-stationarypoint_cancer_risk_(per_million),benzene_cancer_risk_(per_million),coke_oven_emissions_cancer_risk_(per_million),"1,3-butadiene_cancer_risk_(per_million)",benzene_(year_2017_tons),toluene_(year_2017_tons),ethyl_benzene_(year_2017_tons),xylenes_(mixed_isomers)_(year_2017_tons),diesel_pm_(year_2017_tons),"2,2,4-trimethylpentane_(year_2017_tons)",coke_oven_emissions_(year_2017_tons),"1,3-butadiene_(year_2017_tons)"
48000000000,No refineries,No refineries,0.0,Entire State,25145250,0.4,0.03,0.03,0.03,0.008,0.01,0.0002,30,4.2066898095687,1.6520949462454,0.0,0.480043538991876,,,,,,,,
48001000000,No refineries,No refineries,0.0,Anderson,58458,0.3,0.02,0.02,0.02,0.002,0.007,0.0002,30,0.260001112904029,1.16420207848323,0.0,0.195927626506706,,,,,,,,
48001950100,No refineries,No refineries,0.0,Anderson,4685,0.3,0.02,0.02,0.02,0.002,0.007,0.0002,30,0.380271489968792,1.10715962437344,0.0,0.16393944974826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48001950401,No refineries,No refineries,0.0,Anderson,5422,0.3,0.01,0.01,0.02,0.001,0.006,0.0002,30,0.13281896006627,0.969737985474564,0.0,0.15832887958587,,,,,,,,
48001950402,No refineries,No refineries,0.0,Anderson,7535,0.3,0.01,0.02,0.02,0.002,0.006,0.0002,30,0.41250376092362,0.976017170018671,0.0,0.16998845013048,,,,,,,,
48001950500,No refineries,No refineries,0.0,Anderson,4377,0.3,0.02,0.02,0.02,0.002,0.009,0.0002,30,0.145874249472207,1.43938305603316,0.0,0.22344003080052,,,,,,,,
48001950600,No refineries,No refineries,0.0,Anderson,6405,0.4,0.02,0.02,0.02,0.003,0.009,0.0002,30,0.150170150667258,1.38850405745122,0.0,0.23581932369642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48001950700,No refineries,No refineries,0.0,Anderson,2640,0.4,0.02,0.02,0.02,0.003,0.01,0.0002,30,0.154604024620039,1.50540266849758,0.0,0.23996494900956,,,,,,,,
48001950800,No refineries,No refineries,0.0,Anderson,5246,0.4,0.02,0.02,0.02,0.002,0.009,0.0002,30,0.171028376048839,1.3710640112785,0.0,0.22782154065153,,,,,,,,
48001950901,No refineries,No refineries,0.0,Anderson,5938,0.3,0.02,0.02,0.02,0.002,0.007,0.0002,30,0.155124588802443,1.09046904612729,0.0,0.19240121076207,,,,,,,,
48001950902,No refineries,No refineries,0.0,Anderson,4834,0.3,0.02,0.02,0.02,0.002,0.007,0.0002,30,0.212260939650614,1.12103500204682,0.0,0.19489635823668,,,,,,,,
48001951000,No refineries,No refineries,0.0,Anderson,6988,0.3,0.02,0.02,0.02,0.002,0.007,0.0002,30,0.304905986226153,1.07019908020718,0.0,0.19460642135958,3.19567e-05,0.328399999999999,2.71199999999999,14.7564,0.0,0.0,0.0,0.4454
48001951100,No refineries,No refineries,0.0,Anderson,4388,0.3,0.01,0.02,0.02,0.002,0.007,0.0002,30,0.593808061659083,1.03108956014834,0.0,0.17879731153053,0.1530998716099999,0.10700520104,0.0118519742399999,0.04522501851,0.0,0.01481240376,0.0,0.06820819579
48003000000,No refineries,No refineries,0.0,Andrews,14786,0.2,0.01,0.008,0.009,0.002,0.01,7e-05,20,0.216204892850887,2.00243996927493,0.0,0.084228978288202,,,,,,,,
48003950100,No refineries,No refineries,0.0,Andrews,1678,0.2,0.02,0.008,0.009,0.002,0.01,7e-05,20,0.304245731175512,1.99723382162433,0.0,0.08685302327172,3.0500000000000003,1.4270614518,0.53590763503,2.31017098332,0.0,0.6644380143599999,0.0,1.3607133651399999
48003950200,No refineries,No refineries,0.0,Andrews,6473,0.2,0.02,0.008,0.009,0.002,0.01,7e-05,20,0.243132988035756,2.00624586629862,0.0,0.08744943106179,,,,,,,,
48003950300,No refineries,No refineries,0.0,Andrews,3924,0.2,0.009,0.008,0.01,0.002,0.01,7e-05,20,0.19277762775865,2.01245297113934,0.0,0.08987572445163,,,,,,,,
48003950400,No refineries,No refineries,0.0,Andrews,2711,0.2,0.008,0.006,0.007,0.002,0.01,7e-05,20,0.131324959756666,1.98208191874281,0.0,0.06674208406797,,,,,,,,
48005000000,No refineries,No refineries,0.0,Angelina,86771,0.4,0.02,0.02,0.02,0.004,0.009,0.0001,30,0.498742571353825,1.3179247645133,0.0,0.238314791253332,,,,,,,,
48005000101,No refineries,No refineries,0.0,Angelina,6311,0.4,0.02,0.02,0.02,0.003,0.009,0.0001,30,0.221376896363228,1.1894375517557,0.0,0.21135647966061,0.2639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48005000102,No refineries,No refineries,0.0,Angelina,4447,0.4,0.02,0.02,0.02,0.004,0.008,0.0001,30,0.220729910826238,1.13106775413103,0.0,0.2232780387336,,,,,,,,
48005000200,No refineries,No refineries,0.0,Angelina,6580,0.4,0.02,0.02,0.02,0.004,0.009,0.0001,30,0.293226743305295,1.27268144220237,0.0,0.23460174511905,,,,,,,,
48005000301,No refineries,No refineries,0.0,Angelina,5326,0.4,0.02,0.02,0.02,0.004,0.01,0.0001,30,0.237528677617274,1.37801243315336,0.0,0.26326820196669,,,,,,,,
48005000302,No refineries,No refineries,0.0,Angelina,4613,0.4,0.02,0.02,0.02,0.003,0.008,0.0001,30,0.317100907158403,1.21354121367443,0.0,0.24145146925158,,,,,,,,
48005000400,No refineries,No refineries,0.0,Angelina,5479,0.4,0.02,0.02,0.02,0.004,0.01,0.0001,30,0.898645904127858,1.45610615087572,0.0,0.26921110484496,0.0,0.225,0.0222,0.0558,0.0,0.0,0.0,0.0
48005000500,No refineries,No refineries,0.0,Angelina,4006,0.4,0.02,0.02,0.02,0.005,0.01,0.0001,30,0.450880024588111,1.55545351077323,0.0,0.28605045616257,,,,,,,,
48005000600,No refineries,No refineries,0.0,Angelina,6416,0.4,0.02,0.02,0.03,0.005,0.01,0.0001,30,0.639966725770174,1.52035872230592,0.0,0.28638261784491,4.88323e-05,7.90677e-05,0.0,0.0,0.0,0.0,0.0,0.0
48005000700,No refineries,No refineries,0.0,Angelina,3292,0.4,0.02,0.02,0.03,0.005,0.01,0.0001,30,1.08274707623902,1.50621479192483,0.0,0.28685993724048,,,,,,,,
48005000800,No refineries,No refineries,0.0,Angelina,6299,0.4,0.02,0.02,0.02,0.004,0.01,0.0001,30,0.563230440183665,1.5862407044794,0.0,0.27712860323916,,,,,,,,
48005000901,No refineries,No refineries,0.0,Angelina,6342,0.4,0.02,0.02,0.02,0.004,0.01,0.0001,30,0.678181028498817,1.47442088607131,0.0,0.25260903986562,,,,,,,,
48005000902,No refineries,No refineries,0.0,Angelina,3745,0.4,0.02,0.02,0.02,0.003,0.009,0.0001,30,0.566746416558722,1.40791981418513,0.0,0.24033503695506,,,,,,,,
48005001001,No refineries,No refineries,0.0,Angelina,5377,0.5,0.02,0.02,0.02,0.002,0.008,0.0002,30,1.07208357513244,1.16168509428082,0.0,0.22223922042525,0.0288,0.0602,0.0021,0.0654,0.0,0.0,0.0,0.0
48005001002,No refineries,No refineries,0.0,Angelina,4289,0.4,0.02,0.01,0.02,0.003,0.008,0.0001,30,0.579410113314915,1.14506418561283,0.0,0.21150385591362,0.46601439443,0.231326553919999,0.02594295,0.06437598915,0.0,0.203219775,0.0,0.196973289149999
48005001100,No refineries,No refineries,0.0,Angelina,6079,0.4,0.02,0.02,0.02,0.003,0.008,0.0001,30,0.266534015322308,1.18149453503935,0.0,0.19625590679079,2.63e-06,1.15e-06,0.181,1.1459,0.0,0.0,0.0,0.0
48005001200,No refineries,No refineries,0.0,Angelina,2989,0.4,0.02,0.01,0.01,0.002,0.007,0.0001,30,0.262867745702962,1.03415097433938,0.0,0.16372191590919,,,,,,,,
48005001300,No refineries,No refineries,0.0,Angelina,5181,0.4,0.02,0.01,0.01,0.002,0.007,0.0001,30,0.23414987437543,1.06954324539652,0.0,0.16549012731477,,,,,,,,
48007000000,No refineries,No refineries,0.0,Aransas,23158,0.2,0.02,0.009,0.01,0.001,0.005,7e-05,20,0.284913016490091,0.950294428040451,0.0,0.141541670327223,,,,,,,,
48007950100,No refineries,No refineries,0.0,Aransas,5495,0.2,0.02,0.009,0.01,0.001,0.005,8e-05,20,0.7311738783348,0.926475902444845,0.0,0.19234385473581,,,,,,,,
48007950200,No refineries,No refineries,0.0,Aransas,1163,0.2,0.02,0.009,0.01,0.001,0.005,8e-05,20,0.109987793674276,0.84890127489186,0.0,0.13983663823023,,,,,,,,
48007950300,No refineries,No refineries,0.0,Aransas,6609,0.2,0.02,0.01,0.01,0.001,0.005,8e-05,20,0.128572892836687,0.954614120922562,0.0,0.15174521767185,,,,,,,,
48007950400,No refineries,No refineries,0.0,Aransas,3583,0.2,0.02,0.008,0.01,0.001,0.006,7e-05,20,0.142824883987362,1.02889609882648,0.0,0.12486868431105,,,,,,,,
48007950500,No refineries,No refineries,0.0,Aransas,6308,0.2,0.02,0.007,0.008,0.002,0.005,7e-05,20,0.172926373224516,0.940564624390405,0.0,0.09638139979758,,,,,,,,
48009000000,No refineries,No refineries,0.0,Archer,9054,0.3,0.01,0.01,0.01,0.002,0.006,0.0001,20,0.273770362856739,0.96913056221622,0.0,0.102164278596253,,,,,,,,
48009020100,No refineries,No refineries,0.0,Archer,2660,0.3,0.01,0.02,0.02,0.003,0.007,0.0001,20,0.332053833578147,1.08780886341525,0.0,0.16318591466391,,,,,,,,
48009020200,No refineries,No refineries,0.0,Archer,2780,0.2,0.01,0.01,0.01,0.001,0.006,0.0001,20,0.21628154332068,0.926230647670286,0.0,0.08323734525816,,,,,,,,
