,Year,StateAbbr,CountyFIPS,LocationName,DataSource,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID
30,2019,TX,48005,48005001300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,29.9,27.1,32.6,5181,POINT (-94.52014807 31.19510461),48005001300
60,2019,TX,48001,48001950402,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,26.1,22.8,30.1,7535,POINT (-95.9148748 31.79795929),48001950402
76,2019,TX,48001,48001950600,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.4,31.4,35.6,6405,POINT (-95.66941005 31.75080421),48001950600
87,2019,TX,48005,48005000400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,28.8,26.1,31.6,5479,POINT (-94.75285096 31.34206336),48005000400
118,2019,TX,48001,48001950800,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.1,20.1,24.3,5246,POINT (-95.61451444 31.73889534),48001950800
134,2019,TX,48001,48001950901,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,27.0,25.0,29.0,5938,POINT (-95.73615275 31.71895478),48001950901
167,2019,TX,48001,48001951100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,20.4,19.0,21.8,4388,POINT (-95.84274587 31.92205136),48001951100
200,2019,TX,48003,48003950200,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.7,20.3,25.4,6473,POINT (-102.5538696 32.32838785),48003950200
243,2019,TX,48001,48001950902,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,25.0,23.3,26.9,4834,POINT (-95.51666351 31.78836133),48001950902
258,2019,TX,48005,48005000102,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,17.5,15.8,19.4,4447,POINT (-94.87095395 31.32711676),48005000102
333,2019,TX,48005,48005000301,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.2,22.2,26.2,5326,POINT (-94.7746105 31.37253513),48005000301
344,2019,TX,48005,48005000500,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,40.2,37.4,43.1,4006,POINT (-94.73597003 31.37062672),48005000500
379,2019,TX,48001,48001950700,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,30.2,27.9,32.6,2640,POINT (-95.63460227 31.75044924),48001950700
380,2019,TX,48005,48005000800,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.2,20.0,24.4,6299,POINT (-94.70621532 31.31131923),48005000800
387,2019,TX,48001,48001950100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,20.6,19.1,22.4,4685,POINT (-95.55353138 31.97153073),48001950100
394,2019,TX,48005,48005000901,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,20.7,18.0,23.6,6342,POINT (-94.75175497 31.31453094),48005000901
404,2019,TX,48005,48005000700,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,36.8,34.3,39.4,3292,POINT (-94.72582738 31.33648585),48005000700
410,2019,TX,48003,48003950400,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,23.3,21.4,25.1,2711,POINT (-102.4731459 32.19231616),48003950400
415,2019,TX,48005,48005001001,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,33.2,31.1,35.3,5377,POINT (-94.81074259 31.20241355),48005001001
459,2019,TX,48003,48003950300,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,29.3,26.5,32.1,3924,POINT (-102.5486333 32.31445757),48003950300
545,2019,TX,48003,48003950100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.8,20.5,25.3,1678,POINT (-102.7166939 32.35873139),48003950100
549,2019,TX,48001,48001950401,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,22.3,19.0,25.5,5422,POINT (-95.81970269 31.73770297),48001950401
626,2019,TX,48005,48005001200,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,28.7,26.3,31.5,2989,POINT (-94.3555876 31.14018676),48005001200
629,2019,TX,48001,48001951000,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,21.5,20.0,23.2,6988,POINT (-95.51380412 31.62277691),48001951000
673,2019,TX,48001,48001950500,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,28.9,27.3,30.7,4377,POINT (-95.64206134 31.78799575),48001950500
690,2019,TX,48005,48005001100,BRFSS,Fair or poor self-rated health status among adults aged >=18 years,%,Crude prevalence,24.3,22.4,26.4,6079,POINT (-94.58207095 31.33577182),48005001100
