census_tract,cancer_percentage
48001950100,0.08199999999999999
48001950401,0.025
48001950402,0.033
48001950500,0.068
48001950600,0.065
48001950700,0.061
48001950800,0.071
48001950901,0.066
48001950902,0.083
48001951000,0.077
48001951100,0.08
48003950100,0.067
48003950200,0.062
48003950300,0.054000000000000006
48003950400,0.057
48005000101,0.067
48005000102,0.062
48005000200,0.066
48005000301,0.073
48005000302,0.065
48005000400,0.069
48005000500,0.064
48005000600,0.055
48005000700,0.05
48005000800,0.07200000000000001
48005000901,0.08199999999999999
48005000902,0.061
48005001001,0.057999999999999996
48005001002,0.062
48005001100,0.076
48005001200,0.091
48005001300,0.071
48007950100,0.09699999999999999
48007950200,0.125
48007950300,0.08800000000000001
48007950400,0.076
48007950500,0.079
48007990000,
48009020100,0.077
48009020200,0.077
48009020300,0.076
48011950100,0.08800000000000001
48013960100,0.064
48013960201,0.061
48013960202,0.054000000000000006
48013960300,0.055
48013960401,0.052000000000000005
48013960402,0.071
48013960500,0.059000000000000004
48013960600,0.066
48015760100,0.067
48015760200,0.064
48015760300,0.069
48015760400,0.084
48015760501,0.085
48015760502,0.073
48017950100,0.064
48019000101,0.08900000000000001
48019000102,0.085
48019000200,0.098
48019000300,0.075
48019000400,0.081
48021950100,0.069
48021950200,0.059000000000000004
48021950300,0.067
48021950400,0.071
48021950501,0.05
48021950502,0.075
48021950600,0.075
48021950700,0.081
48021950801,0.05
48021950802,0.053
48023950300,0.091
48025950100,0.08
48025950201,0.027999999999999997
48025950202,0.075
48025950300,0.057999999999999996
48025950400,0.064
48025950500,0.049
48025950600,0.067
48027020100,0.071
48027020201,0.067
48027020202,0.067
48027020300,0.051
48027020401,0.063
48027020402,0.061
48027020500,0.067
48027020600,0.069
48027020701,0.07
48027020702,0.053
48027020800,0.059000000000000004
48027020900,0.073
48027021000,0.053
48027021100,0.073
48027021201,0.057999999999999996
48027021202,0.066
48027021203,0.078
48027021301,0.083
48027021302,0.1
48027021303,0.066
48027021400,0.07
48027021500,0.053
48027021601,0.057999999999999996
48027021602,0.033
48027021700,0.073
48027021800,0.052000000000000005
48027021901,0.071
48027021903,0.046
48027021904,0.05
48027022000,0.047
48027022101,0.051
48027022103,0.033
48027022104,0.042
48027022105,0.039
48027022200,0.038
