,Year,StateAbbr,CountyFIPS,LocationName,DataSource,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID
7,2019,TX,48005,48005000102,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.5,6.3,6.7,4447,POINT (-94.87095395 31.32711676),48005000102
12,2019,TX,48001,48001951000,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.0,7.8,8.2,6988,POINT (-95.51380412 31.62277691),48001951000
27,2019,TX,48005,48005000700,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.1,5.0,5.2,3292,POINT (-94.72582738 31.33648585),48005000700
55,2019,TX,48003,48003950400,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.9,5.7,6.1,2711,POINT (-102.4731459 32.19231616),48003950400
70,2019,TX,48005,48005000600,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.7,5.5,5.9,6416,POINT (-94.69610789 31.34870065),48005000600
113,2019,TX,48005,48005000301,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.7,7.4,7.9,5326,POINT (-94.7746105 31.37253513),48005000301
116,2019,TX,48001,48001950401,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,2.6,2.4,2.7,5422,POINT (-95.81970269 31.73770297),48001950401
188,2019,TX,48005,48005001100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.0,7.7,8.3,6079,POINT (-94.58207095 31.33577182),48005001100
190,2019,TX,48005,48005000400,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.2,6.8,7.5,5479,POINT (-94.75285096 31.34206336),48005000400
221,2019,TX,48001,48001950800,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.3,7.0,7.6,5246,POINT (-95.61451444 31.73889534),48001950800
241,2019,TX,48005,48005001001,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.0,5.8,6.1,5377,POINT (-94.81074259 31.20241355),48005001001
300,2019,TX,48001,48001950700,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.2,5.9,6.4,2640,POINT (-95.63460227 31.75044924),48001950700
358,2019,TX,48001,48001950500,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.0,6.7,7.2,4377,POINT (-95.64206134 31.78799575),48001950500
395,2019,TX,48001,48001950902,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.6,8.3,8.8,4834,POINT (-95.51666351 31.78836133),48001950902
434,2019,TX,48003,48003950100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.9,6.7,7.2,1678,POINT (-102.7166939 32.35873139),48003950100
443,2019,TX,48003,48003950300,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.4,5.2,5.7,3924,POINT (-102.5486333 32.31445757),48003950300
457,2019,TX,48005,48005001200,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,9.6,9.2,10.0,2989,POINT (-94.3555876 31.14018676),48005001200
519,2019,TX,48005,48005000302,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.8,6.6,7.0,4613,POINT (-94.78324547 31.28151554),48005000302
563,2019,TX,48005,48005001002,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.5,6.3,6.6,4289,POINT (-94.70737156 31.1660396),48005001002
569,2019,TX,48005,48005000500,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.6,6.3,6.8,4006,POINT (-94.73597003 31.37062672),48005000500
625,2019,TX,48005,48005000901,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.5,8.1,9.0,6342,POINT (-94.75175497 31.31453094),48005000901
637,2019,TX,48005,48005000800,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.5,7.2,7.9,6299,POINT (-94.70621532 31.31131923),48005000800
644,2019,TX,48005,48005000902,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.4,6.1,6.6,3745,POINT (-94.72799848 31.28259013),48005000902
707,2019,TX,48005,48005000101,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.1,6.8,7.3,6311,POINT (-94.85366411 31.44023805),48005000101
717,2019,TX,48001,48001950100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.5,8.3,8.8,4685,POINT (-95.55353138 31.97153073),48001950100
742,2019,TX,48001,48001950402,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,3.3,3.1,3.5,7535,POINT (-95.9148748 31.79795929),48001950402
791,2019,TX,48001,48001950600,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.6,6.4,6.8,6405,POINT (-95.66941005 31.75080421),48001950600
807,2019,TX,48001,48001950901,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.8,6.6,7.0,5938,POINT (-95.73615275 31.71895478),48001950901
835,2019,TX,48003,48003950200,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.4,6.2,6.7,6473,POINT (-102.5538696 32.32838785),48003950200
845,2019,TX,48001,48001951100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.2,8.0,8.5,4388,POINT (-95.84274587 31.92205136),48001951100
864,2019,TX,48005,48005000200,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.0,6.7,7.2,6580,POINT (-94.67256762 31.36878463),48005000200
878,2019,TX,48005,48005001300,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.6,7.2,7.9,5181,POINT (-94.52014807 31.19510461),48005001300
963,2019,TX,48027,48027021800,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.3,5.2,5.5,8440,POINT (-97.57740672 31.05629682),48027021800
974,2019,TX,48029,48029151302,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.0,4.9,5.2,3148,POINT (-98.52424385 29.32951132),48029151302
1073,2019,TX,48029,48029181824,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.1,3.9,4.2,5060,POINT (-98.64114118 29.56534418),48029181824
1086,2019,TX,48029,48029140100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.2,5.0,5.4,1645,POINT (-98.47880006 29.40640837),48029140100
1116,2019,TX,48039,48039661601,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.4,6.2,6.5,6184,POINT (-95.21234562 29.39111074),48039661601
1204,2019,TX,48037,48037010700,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.0,6.7,7.3,4884,POINT (-94.06697001 33.45428086),48037010700
1252,2019,TX,48013,48013960202,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.4,5.2,5.5,9342,POINT (-98.63201619 29.0870305),48013960202
1262,2019,TX,48029,48029181003,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,3.4,3.2,3.5,6296,POINT (-98.56481329 29.52192064),48029181003
1264,2019,TX,48027,48027022300,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.7,4.5,4.9,4010,POINT (-97.69137814 31.09596326),48027022300
1289,2019,TX,48029,48029171923,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.0,3.9,4.2,7442,POINT (-98.65109373 29.45489699),48029171923
1321,2019,TX,48021,48021950700,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.4,8.0,8.7,4189,POINT (-97.17102475 30.01765109),48021950700
1361,2019,TX,48029,48029191504,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.7,8.5,9.0,2412,POINT (-98.56086478 29.58235294),48029191504
1401,2019,TX,48029,48029151100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.3,5.2,5.5,6936,POINT (-98.53067173 29.36207082),48029151100
1405,2019,TX,48029,48029170600,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.1,4.9,5.3,4628,POINT (-98.55005213 29.45195955),48029170600
1501,2019,TX,48029,48029161000,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.6,4.4,4.8,3898,POINT (-98.57276378 29.3440265),48029161000
1536,2019,TX,48029,48029181404,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.0,4.7,5.2,4550,POINT (-98.5881951 29.52865331),48029181404
1597,2019,TX,48029,48029181808,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.6,7.3,8.0,1478,POINT (-98.59796539 29.53772846),48029181808
1698,2019,TX,48027,48027020201,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.9,6.8,7.1,6017,POINT (-97.46995256 31.12826915),48027020201
1703,2019,TX,48029,48029191410,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,3.6,3.5,3.7,5491,POINT (-98.50832458 29.5551574),48029191410
1743,2019,TX,48027,48027023402,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.2,7.0,7.4,4862,POINT (-97.29531874 30.90768706),48027023402
1784,2019,TX,48029,48029191702,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,8.3,8.0,8.6,7064,POINT (-98.49408424 29.59829738),48029191702
1786,2019,TX,48029,48029131505,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,3.6,3.5,3.7,3567,POINT (-98.36628611 29.47284143),48029131505
1794,2019,TX,48029,48029181303,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,3.6,3.5,3.7,3565,POINT (-98.57202249 29.53282993),48029181303
1801,2019,TX,48029,48029182106,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.3,6.1,6.4,5286,POINT (-98.71978596 29.57323151),48029182106
1805,2019,TX,48029,48029170402,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,5.0,4.7,5.2,5197,POINT (-98.53554792 29.43429776),48029170402
1850,2019,TX,48021,48021950100,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.0,6.8,7.3,8608,POINT (-97.3387153 30.28175908),48021950100
1891,2019,TX,48029,48029181727,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.3,4.2,4.5,3168,POINT (-98.64191946 29.47192993),48029181727
1904,2019,TX,48039,48039661501,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.3,6.2,6.5,4726,POINT (-95.32436447 29.43903642),48039661501
1918,2019,TX,48027,48027020401,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,6.5,6.3,6.7,3008,POINT (-97.34848427 31.14905781),48027020401
1929,2019,TX,48029,48029121402,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,4.3,4.1,4.4,5584,POINT (-98.36856942 29.49204971),48029121402
1996,2019,TX,48023,48023950300,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,9.5,9.1,9.9,3726,POINT (-99.21353191 33.61647865),48023950300
2002,2019,TX,48029,48029131801,BRFSS,Cancer (excluding skin cancer) among adults aged >=18 years,%,Crude prevalence,7.8,7.6,8.1,2627,POINT (-98.18773498 29.4333353),48029131801
