state,epa_region,county,fips,tract,population,respiratory_hi,neurological_hi,liver_hi,developmental_hi,reproductive_hi,kidney_hi,ocular_hi,endocrine_hi,hematological_hi,immunological_hi,skeletal_hi,spleen_hi,thyroid_hi,whole_body_hi
TX,EPA Region 6,Entire State,48000,48000000000,25145250,0.4,0.03,0.01,0.03,0.03,0.008,1e-05,6e-06,2e-06,0.01,0.0001,0.0001,0.007,0.0002
TX,EPA Region 6,Anderson,48001,48001000000,58458,0.3,0.02,0.007,0.02,0.02,0.002,2e-10,1e-07,4e-07,0.007,0.0002,3e-07,0.002,0.0002
TX,EPA Region 6,Anderson,48001,48001950100,4685,0.3,0.02,0.007,0.02,0.02,0.002,8e-11,1e-07,3e-07,0.007,0.0001,3e-06,0.001,0.0002
TX,EPA Region 6,Anderson,48001,48001950401,5422,0.3,0.01,0.007,0.01,0.02,0.001,3e-10,6e-08,5e-07,0.006,0.0002,0.0,0.001,0.0002
TX,EPA Region 6,Anderson,48001,48001950402,7535,0.3,0.01,0.007,0.02,0.02,0.002,3e-10,4e-08,7e-07,0.006,0.0003,0.0,0.0009,0.0002
TX,EPA Region 6,Anderson,48001,48001950500,4377,0.3,0.02,0.008,0.02,0.02,0.002,2e-10,1e-07,4e-07,0.009,9e-05,0.0,0.002,0.0002
TX,EPA Region 6,Anderson,48001,48001950600,6405,0.4,0.02,0.008,0.02,0.02,0.003,2e-10,2e-07,4e-07,0.009,9e-05,0.0,0.003,0.0002
TX,EPA Region 6,Anderson,48001,48001950700,2640,0.4,0.02,0.008,0.02,0.02,0.003,2e-10,2e-07,4e-07,0.01,8e-05,0.0,0.003,0.0002
TX,EPA Region 6,Anderson,48001,48001950800,5246,0.4,0.02,0.008,0.02,0.02,0.002,2e-10,1e-07,4e-07,0.009,8e-05,0.0,0.002,0.0002
TX,EPA Region 6,Anderson,48001,48001950901,5938,0.3,0.02,0.008,0.02,0.02,0.002,2e-10,1e-07,4e-07,0.007,0.0001,0.0,0.002,0.0002
