wkt,company,corp,site,state,padd,ad_mbpd,vdist_mbpd,cadis_mbpd,vredu_mbpd,caref_mbpd,isal_mbpd,hds_mbpd,cokin_mbpd,asph_mbpd,source,period,latitude,longitude,geometry_x,geometry_y,tract
POINT (-93.984414 29.9986060000001),TOTAL PETROCHEMICALS & REFINING USA,TOTAL SA,PORT ARTHUR,TX,3,245.0,105.3,80.0,0,43.0,14.5,264.5,60.0,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.998606,-93.984414,-93.984414,29.9986060000001,48245011201
POINT (-101.415073 32.270992),ALON USA ENERGY INC,ALON ISRAEL OIL COMPANY LTD,BIG SPRING,TX,3,74.0,24.0,25.0,0,21.0,5.0,60.0,0.0,7.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.270992,-101.415073,-101.415073,32.270992,48227950100
POINT (-106.395613 31.7675120000001),WESTERN REFINING COMPANY LP,WESTERN REFINING INC.,EL PASO,TX,3,134.0,56.2,35.0,0,26.0,12.5,119.7,0.0,7.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,31.767512,-106.395613,-106.395613,31.7675120000001,48141003501
POINT (-95.281964 32.3604320000001),DELEK REFINING LTD,DELEK GROUP LTD,TYLER,TX,3,75.0,28.0,20.3,0,17.5,4.7,77.0,6.5,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.360432,-95.281964,-95.281964,32.3604320000001,48423000600
POINT (-95.206799 29.721442),PASADENA REFINING SYSTEMS INC,PETROBRAS AMERICA INC,PASADENA,TX,3,115.7,38.0,52.0,0,22.0,12.5,78.0,0.0,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.721442,-95.206799,-95.206799,29.721442,48201324100
POINT (-98.459995 29.3476370000001),CALUMET LUBRICANTS CO,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SAN ANTONIO,TX,3,21.0,0.0,0.0,0,6.0,0.0,13.0,0.0,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.347637,-98.459995,-98.459995,29.3476370000001,48029192200
POINT (-94.976798 29.7614310000001),EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BAYTOWN,TX,3,584.0,297.0,223.0,0,123.5,37.0,794.0,96.0,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.761431,-94.976798,-94.976798,29.7614310000001,48201253700
POINT (-97.525965 27.832974),Flint Hills Resources LP,KOCH INDUSTRIES INC,CORPUS CHRISTI,TX,3,304.0,87.5,110.0,0,0.0,19.0,341.8,15.5,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,27.832974,-97.525965,-97.525965,27.832974,48355006300
POINT (-94.106796 30.111321),EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BEAUMONT,TX,3,359.2,148.8,117.7,0,146.0,40.7,301.4,48.0,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.111321,-94.106796,-94.106796,30.111321,48245000700
POINT (-101.365597 35.6931870000001),WRB REFINING LP,WRB REFINING LP,BORGER,TX,3,154.0,80.0,56.0,0,31.3,45.0,187.4,28.4,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,35.693187,-101.365597,-101.365597,35.6931870000001,48233951000
POINT (-95.747538 29.077881),PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,SWEENY,TX,3,260.0,132.1,119.7,0,37.5,31.8,306.7,78.7,0.0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.077881,-95.747538,-95.747538,29.077881,48039662700
