tract,facility_name,industry_sector,number_facilities
48329010112,"NOVASTAR LP, IMPACT CHEMICAL TECHNOLOGIES INC",Chemicals,2
48161000900,SANDERSON FARMS OAKWOOD FEED MILL,Food,1
48201343600,"LA PORTE METHANOL PLANT, GREIF PACKAGING LLC, CLEAN HARBORS DEER PARK LLC, DEER PARK_TX (ROH), TOTAL PETROCHEMICALS & REFINING USA INC, SHELL CHEMICAL LP, LUBRIZOL CORP DEER PARK PLANT, INEOS POLYMERS, LA PORTE SYNGAS PLANT, TM DEER PARK SERVICES LP, DELTA DEER PARK, OXY VINYLS LP LA PORTE VCM PLANT, DEER PARK REFINING LP, GEMINI HDPE LLC - LA PORTE PLANT, THE LYCRA CO LA PORTE PLANT (PREVIOUSLY INVISTA SARL, VOPAK LOGISTICS SERVICES USA INC DEER PARK, OXY VINYLS LP DEER PARK-VCM PLANT, LUBRIZOL ADVANCED MATERIALS LAPORTE FACILITY, METTON AMERICA INC, GEO SPECIALTY CHEMICALS, OXY VINYLS LP PASADENA PVC PLANT, KURARAY AMERICA INC, LYONDELLBASELL ACETYLS LLC, DUPONT LA PORTE PLANT, EVONIK OIL ADDITIVES USA INC, BRASKEM AMERICA INC-LAPORTE SITE, AMPAC FINE CHEMICALS TEXAS LLC, HEXION INC-DEER PARK SITE, SOLVAY CHEMICALS INC, OXY VINYLS LP DEER PARK CAUSTIC, NOLTEX LLC, GULBRANDSEN TECHNOLOGIES INC, GAS INNOVATIONS, INEOS POLYETHYLENE NA, INEOS OLIGOMERS USA LLC, LA PORTE_THE DOW CHEMICAL CO, FOREMARK PERFORMANCE CHEMICALS, VALVOLINE","Petroleum, Hazardous Waste, Chemical Wholesalers, Chemicals, Fabricated Metals, Petroleum Bulk Terminals",38
48183010500,"OMNI INDUSTRIAL SOLUTIONS INC, MULTI-CHEM GROUP LONGVIEW TX FACILITY, KEEPRITE REFRIGERATION INC FKA NATIONAL COIL CO","Chemicals, Machinery, Chemical Wholesalers",3
48073951000,LEO HICKS CREOSOTING CO INC,Wood Products,1
48439105001,"ITW REFRIGERATION NA, RIDLEY BLOCK OPERATIONS, LATTIMORE MATERIALS CORP - BLUE MOUND RM","Food, Machinery, Nonmetallic Mineral Product",3
48375015400,COASTAL CHEMICAL CO LLC,Chemical Wholesalers,1
48161000100,BIG BROWN STEAM ELECTRIC STATION & LIGNITE MINE,Electric Utilities,1
48375014300,"ASARCO LLC AMARILLO COPPER REFINERY, SOUTHWESTERN PUBLIC SERVICE CO HARRINGTON STATION","Electric Utilities, Primary Metals",2
48245011600,"AIR PRODUCTS LLC, US DOE BIG HILL SPR SITE, CHEVRON PHILLIPS CHEMICAL CO, VEOLIA ES TECHNICAL SOLUTIONS LLC PORT ARTHUR FACILITY, TXI PORT ARTHUR READY MIX, MOTIVA-PORT ARTHUR TERMINAL, PREMCOR REFINING GROUP INC PORT ARTHUR, OXBOW CALCINING LLC, KMTEX LLC","Petroleum, Hazardous Waste, Nonmetallic Mineral Product, Chemicals, Petroleum Bulk Terminals",9
