WKT,Company,Corp,Site,State,PADD,AD_Mbpd,VDist_Mbpd,CaDis_Mbpd,VRedu_Mbpd,CaRef_Mbpd,Isal_Mbpd,HDS_Mbpd,Cokin_Mbpd,Asph_Mbpd,Source,Period,Latitude,Longitude,GEOMETRY_X,GEOMETRY_Y
"POINT (-93.984414 29.9986060000001)",TOTAL PETROCHEMICALS & REFINING USA,TOTAL SA,PORT ARTHUR,Texas,3,245,105.3,80,0,43,14.5,264.5,60,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.998606,-93.984414,-93.984414,29.9986060000001
"POINT (-101.415073 32.270992)",ALON USA ENERGY INC,ALON ISRAEL OIL COMPANY LTD,BIG SPRING,Texas,3,74,24,25,0,21,5,60,0,7.6,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.270992,-101.415073,-101.415073,32.270992
"POINT (-82.5964079999999 38.376602)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CATLETTSBURG,Kentucky,2,292,122,104,0,52.5,39,269,0,35.4,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.376602,-82.596408,-82.5964079999999,38.376602
"POINT (-81.413878 40.772929)",MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,CANTON,Ohio,2,100,35,26,0,21.5,7.5,94.5,0,14.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.772929,-81.413878,-81.413878,40.772929
"POINT (-92.994345 44.851007)",ST PAUL PARK REFINING CO LLC,NORTHERN TIER ENERGY LLC,SAINT PAUL,Minnesota,2,97.8,44,31,0,24.5,15,96.1,0,13,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,44.851007,-92.994345,-92.994345,44.851007
"POINT (-118.236677 33.8185780000001)",TESORO REFINING & MARKETING CO,TESORO CORP,CARSON,California,5,276,140,102.5,0,43,40,198,67.1,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.818578,-118.236677,-118.236677,33.8185780000001
"POINT (-122.734766 48.884624)",BP West Coast Products LLC,BP PLC,FERNDALE,Washington,5,236,112,0,0,65,24,149,57.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,48.884624,-122.734766,-122.734766,48.884624
"POINT (-149.604069 70.3248320000001)",CONOCOPHILLIPS ALASKA INC,CONOCOPHILLIPS,PRUDHOE BAY,Alaska,5,16,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,70.324832,-149.604069,-149.604069,70.3248320000001
"POINT (-148.37813 70.253586)",BP EXPLORATION ALASKA INC,BP PLC,PRUDHOE BAY,Alaska,5,13,0,0,0,0,0,0,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,70.253586,-148.37813,-148.37813,70.253586
"POINT (-93.511874 32.5910700000001)",CALUMET LUBRICANTS CO LP,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",PRINCETON,Louisiana,3,8.7,7,0,0,0,0,0,0,2,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.59107,-93.511874,-93.511874,32.5910700000001
"POINT (-93.411128 32.798531)",CALUMET LUBRICANTS CO LP,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",COTTON VALLEY,Louisiana,3,14,0,0,0,0,0.5,6.2,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.798531,-93.411128,-93.411128,32.798531
"POINT (-97.67768 38.3416280000001)",CHS MCPHERSON REFINERY INC,CHS INC,MCPHERSON,Kansas,2,89,38,24.5,0,24,21.5,81.2,25,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,38.341628,-97.67768,-97.67768,38.3416280000001
"POINT (-108.7681 45.658374)",Cenex Harvest States Coop,CHS INC,LAUREL,Montana,4,61.1,29,16.5,0,12.5,4,62,15,19.8,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,45.658374,-108.7681,-108.7681,45.658374
"POINT (-118.410994 33.9114220000001)",CHEVRON USA INC,CHEVRON CORP,EL SEGUNDO,California,5,290.5,169.1,73.8,0,49,54.5,228.5,74.7,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,33.911422,-118.410994,-118.410994,33.9114220000001
"POINT (-122.398665 37.94978)",CHEVRON USA INC,CHEVRON CORP,RICHMOND,California,5,257.2,123.5,90,0,71.3,78.7,382.2,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,37.94978,-122.398665,-122.398665,37.94978
"POINT (-158.088117 21.3036440000001)",CHEVRON USA INC,CHEVRON CORP,HONOLULU,Hawaii,5,57,31,22,0,0,5,3.5,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,21.303644,-158.088117,-158.088117,21.3036440000001
"POINT (-106.395613 31.7675120000001)",WESTERN REFINING COMPANY LP,WESTERN REFINING INC.,EL PASO,Texas,3,134,56.2,35,0,26,12.5,119.7,0,7,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,31.767512,-106.395613,-106.395613,31.7675120000001
"POINT (-111.923936 40.8247440000001)",CHEVRON USA INC,CHEVRON CORP,SALT LAKE CITY,Utah,4,56,27.5,15,0,8.5,5.6,46.8,9,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.824744,-111.923936,-111.923936,40.8247440000001
"POINT (-88.4899139999999 30.344744)",CHEVRON USA INC,CHEVRON CORP,PASCAGOULA,Mississippi,3,360,314,88,0,95.6,18.6,276.3,105,20,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.344744,-88.489914,-88.4899139999999,30.344744
"POINT (-95.281964 32.3604320000001)",DELEK REFINING LTD,DELEK GROUP LTD,TYLER,Texas,3,75,28,20.3,0,17.5,4.7,77,6.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.360432,-95.281964,-95.281964,32.3604320000001
"POINT (-95.206799 29.721442)",PASADENA REFINING SYSTEMS INC,PETROBRAS AMERICA INC,PASADENA,Texas,3,115.7,38,52,0,22,12.5,78,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.721442,-95.206799,-95.206799,29.721442
"POINT (-111.910603 40.867508)",Silver Eagle Refining,SILVER EAGLE REFINING INC,WOODS CROSS,Utah,4,15.7,7,0,0,0,0,4,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,40.867508,-111.910603,-111.910603,40.867508
"POINT (-98.459995 29.3476370000001)",CALUMET LUBRICANTS CO,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",SAN ANTONIO,Texas,3,21,0,0,0,6,0,13,0,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,29.347637,-98.459995,-98.459995,29.3476370000001
"POINT (-90.907845 32.385998)",ERGON REFINING INC,ERGON INC,VICKSBURG,Mississippi,3,25,18,0,0,0,0,23,0,10,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,32.385998,-90.907845,-90.907845,32.385998
"POINT (-91.169797 30.486272)",EXXONMOBIL REFINING & SUPPLY CO,EXXON MOBIL CORP,BATON ROUGE,Louisiana,3,523.2,246.1,244.5,0,76,41,516.5,123.5,0,EIA-820 Refinery Capacity Report,As of Jan. 1 2016,30.486272,-91.169797,-91.169797,30.486272
